Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Myles Price (40835994),Myles Price,40835994,WR/FLEX,3000,MIN@GB 11/23/2025 01:00PM ET,MIN,-0.2
WR,Rondale Moore (40835996),Rondale Moore,40835996,WR/FLEX,3000,MIN@GB 11/23/2025 01:00PM ET,MIN,0
WR,Jeshaun Jones (40835998),Jeshaun Jones,40835998,WR/FLEX,3000,MIN@GB 11/23/2025 01:00PM ET,MIN,0
WR,Dontae Fleming (40836000),Dontae Fleming,40836000,WR/FLEX,3000,MIN@GB 11/23/2025 01:00PM ET,MIN,0
WR,Savion Williams (40836002),Savion Williams,40836002,WR/FLEX,3000,MIN@GB 11/23/2025 01:00PM ET,GB,2.56
WR,Malik Heath (40836004),Malik Heath,40836004,WR/FLEX,3000,MIN@GB 11/23/2025 01:00PM ET,GB,1.62
WR,Isaiah Neyor (40836006),Isaiah Neyor,40836006,WR/FLEX,3000,MIN@GB 11/23/2025 01:00PM ET,GB,0
WR,Michael Woods II (40836008),Michael Woods II,40836008,WR/FLEX,3000,MIN@GB 11/23/2025 01:00PM ET,GB,0
WR,Will Sheppard (40836010),Will Sheppard,40836010,WR/FLEX,3000,MIN@GB 11/23/2025 01:00PM ET,GB,0
WR,Jakobie Keeney-James (40836012),Jakobie Keeney-James,40836012,WR/FLEX,3000,MIN@GB 11/23/2025 01:00PM ET,GB,0
WR,JuJu Smith-Schuster (40835848),JuJu Smith-Schuster,40835848,WR/FLEX,3000,IND@KC 11/23/2025 01:00PM ET,KC,6.01
WR,Nikko Remigio (40835972),Nikko Remigio,40835972,WR/FLEX,3000,IND@KC 11/23/2025 01:00PM ET,KC,0.42
WR,Jalen Royals (40835974),Jalen Royals,40835974,WR/FLEX,3000,IND@KC 11/23/2025 01:00PM ET,KC,0
WR,Jason Brownlee (40835976),Jason Brownlee,40835976,WR/FLEX,3000,IND@KC 11/23/2025 01:00PM ET,KC,0
WR,Jimmy Holiday (40835978),Jimmy Holiday,40835978,WR/FLEX,3000,IND@KC 11/23/2025 01:00PM ET,KC,0
WR,Ashton Dulin (40835980),Ashton Dulin,40835980,WR/FLEX,3000,IND@KC 11/23/2025 01:00PM ET,IND,1.58
WR,Anthony Gould (40835982),Anthony Gould,40835982,WR/FLEX,3000,IND@KC 11/23/2025 01:00PM ET,IND,0.16
WR,Laquon Treadwell (40835984),Laquon Treadwell,40835984,WR/FLEX,3000,IND@KC 11/23/2025 01:00PM ET,IND,0
WR,D.J. Montgomery (40835986),D.J. Montgomery,40835986,WR/FLEX,3000,IND@KC 11/23/2025 01:00PM ET,IND,0
WR,Coleman Owen (40835988),Coleman Owen,40835988,WR/FLEX,3000,IND@KC 11/23/2025 01:00PM ET,IND,0
WR,Calvin Ridley (40835838),Calvin Ridley,40835838,WR/FLEX,3000,SEA@TEN 11/23/2025 01:00PM ET,TEN,7.19
WR,Jake Bobo (40835952),Jake Bobo,40835952,WR/FLEX,3000,SEA@TEN 11/23/2025 01:00PM ET,SEA,0.67
WR,Cody White (40835954),Cody White,40835954,WR/FLEX,3000,SEA@TEN 11/23/2025 01:00PM ET,SEA,3.25
WR,Dareke Young (40835956),Dareke Young,40835956,WR/FLEX,3000,SEA@TEN 11/23/2025 01:00PM ET,SEA,1.13
WR,Courtney Jackson (40835958),Courtney Jackson,40835958,WR/FLEX,3000,SEA@TEN 11/23/2025 01:00PM ET,SEA,0
WR,Ricky White III (40835960),Ricky White III,40835960,WR/FLEX,3000,SEA@TEN 11/23/2025 01:00PM ET,SEA,0
WR,Mason Kinsey (40835962),Mason Kinsey,40835962,WR/FLEX,3000,SEA@TEN 11/23/2025 01:00PM ET,TEN,0.6
WR,Bryce Oliver (40835964),Bryce Oliver,40835964,WR/FLEX,3000,SEA@TEN 11/23/2025 01:00PM ET,TEN,0.9
WR,Hal Presley III (40835966),Hal Presley III,40835966,WR/FLEX,3000,SEA@TEN 11/23/2025 01:00PM ET,TEN,0
WR,James Proche II (40835968),James Proche II,40835968,WR/FLEX,3000,SEA@TEN 11/23/2025 01:00PM ET,TEN,0
WR,Xavier Restrepo (40835970),Xavier Restrepo,40835970,WR/FLEX,3000,SEA@TEN 11/23/2025 01:00PM ET,TEN,0
WR,Austin Trammell (40835928),Austin Trammell,40835928,WR/FLEX,3000,JAX@ARI 11/23/2025 04:05PM ET,JAX,2.53
WR,Travis Hunter (40835930),Travis Hunter,40835930,WR/FLEX,3000,JAX@ARI 11/23/2025 04:05PM ET,JAX,9.54
WR,Joshua Cephus (40835932),Joshua Cephus,40835932,WR/FLEX,3000,JAX@ARI 11/23/2025 04:05PM ET,JAX,0
WR,Tim Jones (40835934),Tim Jones,40835934,WR/FLEX,3000,JAX@ARI 11/23/2025 04:05PM ET,JAX,0.62
WR,Chandler Brayboy (40835936),Chandler Brayboy,40835936,WR/FLEX,3000,JAX@ARI 11/23/2025 04:05PM ET,JAX,0
