Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Antonio Gibson (41281974),Antonio Gibson,41281974,RB/FLEX,4000,NE@NYJ 12/28/2025 01:00PM ET,NE,4.84
RB,Lan Larison (41281976),Lan Larison,41281976,RB/FLEX,4000,NE@NYJ 12/28/2025 01:00PM ET,NE,0
RB,Deneric Prince (41281978),Deneric Prince,41281978,RB/FLEX,4000,NE@NYJ 12/28/2025 01:00PM ET,NE,0
RB,Jack Westover (41281980),Jack Westover,41281980,RB/FLEX,4000,NE@NYJ 12/28/2025 01:00PM ET,NE,0
RB,Jashaun Corbin (41281982),Jashaun Corbin,41281982,RB/FLEX,4000,NE@NYJ 12/28/2025 01:00PM ET,NE,0
RB,Brock Lampe (41281984),Brock Lampe,41281984,RB/FLEX,4000,NE@NYJ 12/28/2025 01:00PM ET,NE,0
WR,Mack Hollins (41282124),Mack Hollins,41282124,WR/FLEX,4000,NE@NYJ 12/28/2025 01:00PM ET,NE,7.76
QB,Spencer Rattler (41281816),Spencer Rattler,41281816,QB,4000,NO@TEN 12/28/2025 01:00PM ET,NO,11.79
QB,Jake Haener (41281817),Jake Haener,41281817,QB,4000,NO@TEN 12/28/2025 01:00PM ET,NO,0
QB,Brandon Allen (41281818),Brandon Allen,41281818,QB,4000,NO@TEN 12/28/2025 01:00PM ET,TEN,0
QB,Will Levis (41281819),Will Levis,41281819,QB,4000,NO@TEN 12/28/2025 01:00PM ET,TEN,0
QB,Trevor Siemian (41281820),Trevor Siemian,41281820,QB,4000,NO@TEN 12/28/2025 01:00PM ET,TEN,0
RB,Devin Neal (41281938),Devin Neal,41281938,RB/FLEX,4000,NO@TEN 12/28/2025 01:00PM ET,NO,6
RB,Kendre Miller (41281954),Kendre Miller,41281954,RB/FLEX,4000,NO@TEN 12/28/2025 01:00PM ET,NO,4.76
RB,Nyheim Miller-Hines (41281956),Nyheim Miller-Hines,41281956,RB/FLEX,4000,NO@TEN 12/28/2025 01:00PM ET,NO,-0.07
RB,Kalel Mullings (41281958),Kalel Mullings,41281958,RB/FLEX,4000,NO@TEN 12/28/2025 01:00PM ET,TEN,0.04
RB,Julius Chestnut (41281960),Julius Chestnut,41281960,RB/FLEX,4000,NO@TEN 12/28/2025 01:00PM ET,TEN,0.27
RB,Jordan Mims (41281962),Jordan Mims,41281962,RB/FLEX,4000,NO@TEN 12/28/2025 01:00PM ET,TEN,0
QB,Tanner McKee (41281810),Tanner McKee,41281810,QB,4000,PHI@BUF 12/28/2025 04:25PM ET,PHI,0.61
QB,Sam Howell (41281812),Sam Howell,41281812,QB,4000,PHI@BUF 12/28/2025 04:25PM ET,PHI,0
QB,Kyle McCord (41281813),Kyle McCord,41281813,QB,4000,PHI@BUF 12/28/2025 04:25PM ET,PHI,0
QB,Mitchell Trubisky (41281814),Mitchell Trubisky,41281814,QB,4000,PHI@BUF 12/28/2025 04:25PM ET,BUF,0.75
QB,Shane Buechele (41281815),Shane Buechele,41281815,QB,4000,PHI@BUF 12/28/2025 04:25PM ET,BUF,0
RB,A.J. Dillon (41281944),A.J. Dillon,41281944,RB/FLEX,4000,PHI@BUF 12/28/2025 04:25PM ET,PHI,1.47
RB,Ben VanSumeren (41281946),Ben VanSumeren,41281946,RB/FLEX,4000,PHI@BUF 12/28/2025 04:25PM ET,PHI,0
RB,Ray Davis (41281948),Ray Davis,41281948,RB/FLEX,4000,PHI@BUF 12/28/2025 04:25PM ET,BUF,2.41
RB,Reggie Gilliam (41281950),Reggie Gilliam,41281950,RB/FLEX,4000,PHI@BUF 12/28/2025 04:25PM ET,BUF,0.08
RB,Frank Gore Jr. (41281952),Frank Gore Jr.,41281952,RB/FLEX,4000,PHI@BUF 12/28/2025 04:25PM ET,BUF,0
WR,Darius Slayton (41282128),Darius Slayton,41282128,WR/FLEX,3900,NYG@LV 12/28/2025 04:05PM ET,NYG,7.07
WR,Malik Washington (41282126),Malik Washington,41282126,WR/FLEX,3900,TB@MIA 12/28/2025 01:00PM ET,MIA,6.96
DST,Patriots  (41282626),Patriots ,41282626,DST,3900,NE@NYJ 12/28/2025 01:00PM ET,NE,7.2
WR,Cooper Kupp (41282130),Cooper Kupp,41282130,WR/FLEX,3800,SEA@CAR 12/28/2025 01:00PM ET,SEA,7.99
WR,Tre Tucker (41282132),Tre Tucker,41282132,WR/FLEX,3800,NYG@LV 12/28/2025 04:05PM ET,LV,9.96
TE,Darren Waller (41282440),Darren Waller,41282440,TE/FLEX,3800,TB@MIA 12/28/2025 01:00PM ET,MIA,10.96
DST,Seahawks  (41282627),Seahawks ,41282627,DST,3700,SEA@CAR 12/28/2025 01:00PM ET,SEA,10.47
WR,Jack Bech (41282136),Jack Bech,41282136,WR/FLEX,3700,NYG@LV 12/28/2025 04:05PM ET,LV,2.83
WR,John Metchie III (41282134),John Metchie III,41282134,WR/FLEX,3700,NE@NYJ 12/28/2025 01:00PM ET,NYJ,4.27
TE,AJ Barner (41282442),AJ Barner,41282442,TE/FLEX,3600,SEA@CAR 12/28/2025 01:00PM ET,SEA,8.71
WR,Andrei Iosivas (41282138),Andrei Iosivas,41282138,WR/FLEX,3600,ARI@CIN 12/28/2025 01:00PM ET,CIN,5.25
WR,Elic Ayomanor (41282140),Elic Ayomanor,41282140,WR/FLEX,3600,NO@TEN 12/28/2025 01:00PM ET,TEN,6.77
TE,Mike Gesicki (41282444),Mike Gesicki,41282444,TE/FLEX,3500,ARI@CIN 12/28/2025 01:00PM ET,CIN,5.52
WR,Jalen McMillan (41282146),Jalen McMillan,41282146,WR/FLEX,3500,TB@MIA 12/28/2025 01:00PM ET,TB,4.7
WR,DeMario Douglas (41282142),DeMario Douglas,41282142,WR/FLEX,3500,NE@NYJ 12/28/2025 01:00PM ET,NE,6.13
WR,Mason Tipton (41282144),Mason Tipton,41282144,WR/FLEX,3500,NO@TEN 12/28/2025 01:00PM ET,NO,1.46
DST,Saints  (41282628),Saints ,41282628,DST,3500,NO@TEN 12/28/2025 01:00PM ET,NO,6.6
WR,Xavier Legette (41282152),Xavier Legette,41282152,WR/FLEX,3400,SEA@CAR 12/28/2025 01:00PM ET,CAR,6.37
WR,Tyler Lockett (41282148),Tyler Lockett,41282148,WR/FLEX,3400,NYG@LV 12/28/2025 04:05PM ET,LV,4.18
TE,Theo Johnson (41282446),Theo Johnson,41282446,TE/FLEX,3400,NYG@LV 12/28/2025 04:05PM ET,NYG,8.52
WR,Adam Thielen (41282150),Adam Thielen,41282150,WR/FLEX,3400,PIT@CLE 12/28/2025 01:00PM ET,PIT,2.06
DST,Jaguars  (41282629),Jaguars ,41282629,DST,3400,JAX@IND 12/28/2025 01:00PM ET,JAX,8.27
DST,Steelers  (41282630),Steelers ,41282630,DST,3300,PIT@CLE 12/28/2025 01:00PM ET,PIT,7.67
WR,Tim Patrick (41282156),Tim Patrick,41282156,WR/FLEX,3300,JAX@IND 12/28/2025 01:00PM ET,JAX,3.59
WR,Kyle Williams (41282158),Kyle Williams,41282158,WR/FLEX,3300,NE@NYJ 12/28/2025 01:00PM ET,NE,2.91
TE,Chig Okonkwo (41282448),Chig Okonkwo,41282448,TE/FLEX,3300,NO@TEN 12/28/2025 01:00PM ET,TEN,7.15
WR,Keon Coleman (41282154),Keon Coleman,41282154,WR/FLEX,3300,PHI@BUF 12/28/2025 04:25PM ET,BUF,8.12
DST,Bengals  (41282631),Bengals ,41282631,DST,3200,ARI@CIN 12/28/2025 01:00PM ET,CIN,4.13
WR,Calvin Austin III (41282164),Calvin Austin III,41282164,WR/FLEX,3200,PIT@CLE 12/28/2025 01:00PM ET,PIT,5.52
TE,Cade Otton (41282450),Cade Otton,41282450,TE/FLEX,3200,TB@MIA 12/28/2025 01:00PM ET,TB,6.61
WR,Kevin Austin Jr. (41282160),Kevin Austin Jr.,41282160,WR/FLEX,3200,NO@TEN 12/28/2025 01:00PM ET,NO,1.68
WR,Joshua Palmer (41282162),Joshua Palmer,41282162,WR/FLEX,3200,PHI@BUF 12/28/2025 04:25PM ET,BUF,4.9
WR,Cedric Tillman (41282168),Cedric Tillman,41282168,WR/FLEX,3100,PIT@CLE 12/28/2025 01:00PM ET,CLE,4.68
DST,Buccaneers  (41282632),Buccaneers ,41282632,DST,3100,TB@MIA 12/28/2025 01:00PM ET,TB,5.87
WR,Isaiah Williams (41282170),Isaiah Williams,41282170,WR/FLEX,3100,NE@NYJ 12/28/2025 01:00PM ET,NYJ,3.45
WR,Gabe Davis (41282166),Gabe Davis,41282166,WR/FLEX,3100,PHI@BUF 12/28/2025 04:25PM ET,BUF,3.95
TE,Dawson Knox (41282452),Dawson Knox,41282452,TE/FLEX,3100,PHI@BUF 12/28/2025 04:25PM ET,BUF,5.69
WR,Brycen Tremayne (41282396),Brycen Tremayne,41282396,WR/FLEX,3000,SEA@CAR 12/28/2025 01:00PM ET,CAR,1.81
WR,Jimmy Horn Jr. (41282398),Jimmy Horn Jr.,41282398,WR/FLEX,3000,SEA@CAR 12/28/2025 01:00PM ET,CAR,1.94
WR,Hunter Renfrow (41282400),Hunter Renfrow,41282400,WR/FLEX,3000,SEA@CAR 12/28/2025 01:00PM ET,CAR,5.98
WR,David Moore (41282402),David Moore,41282402,WR/FLEX,3000,SEA@CAR 12/28/2025 01:00PM ET,CAR,0.68
WR,Ja'seem Reed (41282404),Ja'seem Reed,41282404,WR/FLEX,3000,SEA@CAR 12/28/2025 01:00PM ET,CAR,0
WR,Ainias Smith (41282406),Ainias Smith,41282406,WR/FLEX,3000,SEA@CAR 12/28/2025 01:00PM ET,CAR,0
WR,Dan Chisena (41282408),Dan Chisena,41282408,WR/FLEX,3000,SEA@CAR 12/28/2025 01:00PM ET,CAR,0
WR,Cody White (41282410),Cody White,41282410,WR/FLEX,3000,SEA@CAR 12/28/2025 01:00PM ET,SEA,2
WR,Dareke Young (41282412),Dareke Young,41282412,WR/FLEX,3000,SEA@CAR 12/28/2025 01:00PM ET,SEA,0.97
WR,Jake Bobo (41282414),Jake Bobo,41282414,WR/FLEX,3000,SEA@CAR 12/28/2025 01:00PM ET,SEA,0.44
WR,Tory Horton (41282416),Tory Horton,41282416,WR/FLEX,3000,SEA@CAR 12/28/2025 01:00PM ET,SEA,8.14
WR,Courtney Jackson (41282418),Courtney Jackson,41282418,WR/FLEX,3000,SEA@CAR 12/28/2025 01:00PM ET,SEA,0
WR,Ricky White III (41282420),Ricky White III,41282420,WR/FLEX,3000,SEA@CAR 12/28/2025 01:00PM ET,SEA,0
WR,Mitch Tinsley (41282172),Mitch Tinsley,41282172,WR/FLEX,3000,ARI@CIN 12/28/2025 01:00PM ET,CIN,2.11
WR,Jalen Brooks (41282182),Jalen Brooks,41282182,WR/FLEX,3000,ARI@CIN 12/28/2025 01:00PM ET,ARI,1.78
WR,Xavier Weaver (41282368),Xavier Weaver,41282368,WR/FLEX,3000,ARI@CIN 12/28/2025 01:00PM ET,ARI,1.16
WR,Steven Sims (41282370),Steven Sims,41282370,WR/FLEX,3000,ARI@CIN 12/28/2025 01:00PM ET,ARI,0
WR,Greg Dortch (41282372),Greg Dortch,41282372,WR/FLEX,3000,ARI@CIN 12/28/2025 01:00PM ET,ARI,6.26
WR,Simi Fehoko (41282374),Simi Fehoko,41282374,WR/FLEX,3000,ARI@CIN 12/28/2025 01:00PM ET,ARI,0
WR,Zay Jones (41282376),Zay Jones,41282376,WR/FLEX,3000,ARI@CIN 12/28/2025 01:00PM ET,ARI,3.79
